file_name,rule_id,severity,line_number,detected_message,actual_code_line,validity,verification_reason
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4434,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".alert.PROCESS_HOLD\"",proc_hold);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4440,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.HOLD_BIT\"",false);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4445,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.HOLD_BIT\"",true);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4493,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.CANCEL_BIT\"",chkbit);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4499,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.CANCEL_BIT\"",false);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4504,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.CANCEL_BIT\"",true);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4545,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.ALMRESET_BIT\"",chkbit);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4551,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.ALMRESET_BIT\"",false);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4556,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpSet($SetDP + \"".cmd.ALMRESET_BIT\"",true);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,5158,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701D_ZV.PVLAST\"",ST1);",VALID,룰 검사 기준 부합
